# Time-averaged data for fix fixflux1
# TimeStep v_ptemp f_fix10 f_fix11 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
216970000 307.778 -561.926 59.8914 1.24256e-09 1.36438e-09 7.78327e-10 2.53668e-10 7.53321e-10 6.37375e-10 6.36128e-10 6.36128e-10
216980000 306.517 -561.234 59.9054 5.55174e-10 5.38054e-10 3.31248e-10 1.3024e-10 3.03525e-10 2.44855e-10 2.48187e-10 2.48187e-10
216990000 306.087 -546.304 65.6997 -5.03055e-11 -4.28543e-11 -3.83913e-11 -8.73158e-12 -1.69389e-11 -1.93566e-11 -1.89918e-11 -1.89918e-11
217000000 304.236 -552.768 63.0189 -4.92584e-10 -5.94534e-10 -3.30622e-10 -8.87932e-11 -3.05281e-10 -2.74592e-10 -2.7531e-10 -2.7531e-10
217010000 307.345 -563.517 78.5947 -8.31152e-10 -9.39417e-10 -5.51298e-10 -1.74994e-10 -4.82204e-10 -4.40792e-10 -4.39388e-10 -4.39388e-10
217020000 311.221 -597.273 81.798 -1.0085e-09 -1.18702e-09 -7.13577e-10 -1.6383e-10 -5.91861e-10 -5.47616e-10 -5.48852e-10 -5.48852e-10
217030000 309.657 -613.112 60.3452 -1.27614e-09 -1.45062e-09 -8.40574e-10 -2.54029e-10 -7.63803e-10 -6.77921e-10 -6.77699e-10 -6.77699e-10
217040000 311.475 -579.412 63.8839 -1.66537e-09 -1.82994e-09 -1.06942e-09 -3.42793e-10 -9.73872e-10 -8.45977e-10 -8.49157e-10 -8.49157e-10
217050000 308.928 -566.741 28.7692 -1.50353e-09 -1.71222e-09 -1.00429e-09 -2.69004e-10 -8.8682e-10 -7.8951e-10 -7.8958e-10 -7.8958e-10
217060000 310.218 -580.849 56.6536 -6.95726e-10 -7.56784e-10 -4.53455e-10 -1.50943e-10 -3.89204e-10 -3.52613e-10 -3.51818e-10 -3.51818e-10
217070000 308.099 -564.912 33.6372 -7.39941e-11 -1.24182e-10 -7.39031e-11 -7.54974e-12 -3.11251e-11 -5.30056e-11 -5.39429e-11 -5.39429e-11
217080000 304.205 -561.78 66.0478 1.69472e-10 2.08695e-10 1.28456e-10 2.65493e-11 9.08583e-11 9.45017e-11 9.48971e-11 9.48971e-11
217090000 307.408 -573.46 61.6151 5.0564e-10 5.66521e-10 3.18929e-10 1.14554e-10 2.94859e-10 2.65563e-10 2.63696e-10 2.63696e-10
217100000 307.792 -584.871 63.964 1.21197e-09 1.36111e-09 7.959e-10 2.25608e-10 7.17347e-10 6.35492e-10 6.30872e-10 6.30872e-10
217110000 305.818 -577.467 61.0162 1.3315e-09 1.51103e-09 8.51687e-10 2.97385e-10 7.69912e-10 7.06866e-10 7.01344e-10 7.01344e-10
217120000 306.368 -575.029 50.4535 1.24233e-09 1.39357e-09 7.87332e-10 2.50487e-10 7.55898e-10 6.44893e-10 6.47463e-10 6.47463e-10
217130000 308.437 -569.751 40.6442 1.00042e-09 1.12919e-09 6.16196e-10 2.37091e-10 6.07687e-10 5.33793e-10 5.30884e-10 5.30884e-10
217140000 306.864 -578.844 43.1794 8.4861e-10 9.14357e-10 4.96664e-10 1.94464e-10 4.9786e-10 4.21371e-10 4.19027e-10 4.19027e-10
217150000 308.65 -551.256 19.314 6.42073e-10 7.41637e-10 4.33952e-10 1.35514e-10 3.55829e-10 3.43496e-10 3.42089e-10 3.42089e-10
217160000 312.11 -549.353 54.6948 -1.86614e-10 -3.00179e-10 -2.0297e-10 7.64959e-14 -1.13127e-10 -1.42054e-10 -1.4291e-10 -1.4291e-10
217170000 315.712 -573.007 51.6309 -5.06806e-10 -6.06805e-10 -3.17442e-10 -1.07971e-10 -3.32876e-10 -2.88224e-10 -2.86628e-10 -2.86628e-10
217180000 315.711 -584.866 41.8151 -1.16997e-09 -1.35226e-09 -7.07798e-10 -2.56325e-10 -7.09879e-10 -6.29436e-10 -6.21432e-10 -6.21432e-10
217190000 316.853 -590.84 54.614 -1.09079e-09 -1.14801e-09 -6.58622e-10 -2.47006e-10 -6.50468e-10 -5.39969e-10 -5.38321e-10 -5.38321e-10
217200000 321.427 -595.713 45.7301 -9.8678e-10 -1.08238e-09 -6.7119e-10 -1.71594e-10 -5.70162e-10 -5.02179e-10 -5.02681e-10 -5.02681e-10
217210000 322.504 -568.05 42.166 -6.38103e-10 -7.02685e-10 -4.11268e-10 -1.37149e-10 -3.5745e-10 -3.16731e-10 -3.21795e-10 -3.21795e-10
217220000 323.218 -569.175 54.3726 -5.30115e-10 -6.52265e-10 -3.21959e-10 -9.0047e-11 -3.41771e-10 -2.90789e-10 -2.91679e-10 -2.91679e-10
217230000 321.917 -595.452 60.7712 -7.08383e-10 -8.00906e-10 -4.69054e-10 -9.87387e-11 -4.56301e-10 -3.65468e-10 -3.70521e-10 -3.70521e-10
217240000 321.696 -592.159 46.5536 -1.02955e-09 -1.15209e-09 -6.2957e-10 -2.67372e-10 -5.88524e-10 -5.39979e-10 -5.36996e-10 -5.36996e-10
217250000 322.436 -596.527 64.7778 -3.44307e-10 -3.86803e-10 -2.75088e-10 -7.49508e-11 -1.36724e-10 -1.76089e-10 -1.76337e-10 -1.76337e-10
217260000 317.248 -588.343 65.1503 7.01995e-10 8.20904e-10 4.44727e-10 1.61298e-10 3.872e-10 3.75097e-10 3.71807e-10 3.71807e-10
217270000 318.172 -597.572 83.0266 1.00638e-09 1.05472e-09 6.5402e-10 2.29613e-10 5.24891e-10 4.85237e-10 4.85526e-10 4.85526e-10
217280000 318.428 -550.368 72.9827 1.59418e-09 1.77911e-09 9.93618e-10 3.08923e-10 9.66994e-10 8.17309e-10 8.17943e-10 8.17943e-10
217290000 315.255 -588.941 50.0968 1.01827e-09 1.15211e-09 6.80336e-10 2.23991e-10 5.79604e-10 5.43444e-10 5.40303e-10 5.40303e-10
217300000 315.158 -571.68 72.1908 1.12044e-09 1.23666e-09 7.00341e-10 2.40104e-10 6.67123e-10 5.7447e-10 5.74566e-10 5.74566e-10
217310000 313.575 -568.362 37.7739 1.15184e-09 1.29797e-09 7.68705e-10 2.22565e-10 6.73699e-10 6.04425e-10 6.0388e-10 6.0388e-10
