# Time-averaged data for fix fixflux1
# TimeStep v_ptemp f_fix1 f_fix2 f_fix3 f_fix4 f_fix5 f_fix6 f_fix7 f_fix8 f_fix9 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
14250000 298.046 -42.2407 -49.9235 160.61 -42.2546 12.9375 83.685 102.661 -50.8021 34.1236 1.353e-09 1.07799e-09 3.81231e-10 4.61209e-10 9.19348e-10 4.94322e-10 4.95275e-10 4.95275e-10
14260000 298.211 -21.8856 -51.1184 168.868 -22.5893 8.5794 77.8804 94.5906 -37.9075 57.4665 1.25464e-09 1.35635e-09 9.0099e-10 1.75298e-10 7.01811e-10 6.1025e-10 6.22515e-10 6.22515e-10
14270000 298.416 -23.3467 -30.5608 165.03 -26.8627 17.2771 63.658 84.0023 -64.3373 47.4301 2.52404e-10 5.45566e-10 1.80079e-10 -6.58408e-11 3.72514e-10 2.57843e-10 2.59439e-10 2.59439e-10
14280000 298.902 -4.76191 -15.632 139.67 -5.58724 10.5321 96.522 70.7555 -69.1491 62.2396 1.41479e-09 1.69793e-09 7.9731e-10 3.57643e-10 9.19263e-10 8.0007e-10 7.89356e-10 7.89356e-10
14290000 299.522 -6.65874 -4.55933 168.152 -13.2203 25.5059 66.3565 72.2093 -54.6134 36.7106 1.23001e-09 1.43582e-09 7.78726e-10 1.51767e-10 8.41136e-10 6.48346e-10 6.56447e-10 6.56447e-10
14300000 298.452 -61.793 -2.18287 161.529 -4.61947 -1.7509 57.6041 102.134 -48.4773 68.8346 -4.85109e-10 -6.40913e-10 -2.70154e-10 -1.67727e-10 -2.56327e-10 -3.06168e-10 -2.89045e-10 -2.89045e-10
14310000 299.056 -41.1566 -37.0895 139.166 -26.6494 -23.3026 60.2258 104.647 -53.0769 70.2318 -1.27133e-09 -1.24407e-09 -7.84509e-10 -2.65154e-10 -7.06962e-10 -5.80165e-10 -5.77382e-10 -5.77382e-10
14320000 299.263 -17.0014 -25.9945 140.031 -38.3894 -6.88074 57.6943 98.1664 -61.5851 68.8684 -1.41242e-09 -1.30203e-09 -7.22551e-10 -4.15462e-10 -7.54025e-10 -5.93989e-10 -5.93909e-10 -5.93909e-10
14330000 299.625 -30.3079 -21.935 164.681 -16.127 8.65911 29.079 101.563 -53.9497 44.7761 -9.17022e-10 -8.89664e-10 -3.54296e-10 -3.16426e-10 -5.73254e-10 -3.96872e-10 -4.03372e-10 -4.03372e-10
14340000 298.803 -42.3312 2.4485 152.963 11.4052 -10.3151 72.0913 84.3374 -70.927 70.0133 -8.93786e-10 -9.38307e-10 -5.50424e-10 -1.61814e-10 -5.09939e-10 -4.36251e-10 -4.25737e-10 -4.25737e-10
14350000 300.115 -52.7563 -6.32005 189.104 6.88042 -20.1624 45.4116 136.485 -82.7996 44.9011 -4.36992e-10 -6.41333e-10 -3.04824e-10 -1.6666e-10 -2.31114e-10 -3.17904e-10 -3.06211e-10 -3.06211e-10
14360000 299.592 -53.3063 -32.2922 148.063 -8.22385 -21.7899 51.1412 109.029 -69.6138 54.3299 -5.43251e-10 -7.66484e-10 -4.50956e-10 1.9375e-11 -3.71236e-10 -3.44779e-10 -3.42707e-10 -3.42707e-10
14370000 298.747 -36.5362 -32.4508 152.656 -44.2726 -7.87002 60.3051 89.4487 -52.2345 70.9728 -1.5654e-09 -1.77668e-09 -9.5534e-10 -2.30118e-10 -1.04145e-09 -8.04147e-10 -8.10585e-10 -8.10585e-10
14380000 297.904 -69.0571 -21.3697 164.319 -9.71046 -10.2078 58.6682 81.2482 -60.4969 51.9889 -3.25313e-10 -1.50743e-11 1.06367e-10 -1.35869e-10 -2.89131e-10 -6.31452e-12 -3.67694e-12 -3.67694e-12
14390000 296.816 -35.3366 -20.5007 198.839 -34.4984 -5.63569 55.5703 71.3684 -53.4267 60.9871 1.26746e-09 1.13195e-09 6.86553e-10 2.68811e-10 7.66118e-10 5.18579e-10 5.26137e-10 5.26137e-10
14400000 296.57 -22.9788 -37.931 166.866 -49.1214 6.7601 42.6872 94.2204 -28.2695 54.9663 -1.03797e-09 -1.2045e-09 -8.41433e-10 -1.86236e-10 -4.76902e-10 -5.61213e-10 -5.58076e-10 -5.58076e-10
14410000 295.381 -33.8879 -33.68 158.242 -30.1531 3.46471 56.0611 98.9427 -65.7468 68.3226 -8.22436e-10 -7.93994e-10 -7.21165e-10 -4.25702e-11 -3.56343e-10 -3.57165e-10 -3.622e-10 -3.622e-10
14420000 295.823 -13.0948 -23.4051 179.912 -33.955 -3.51395 88.5762 59.0031 -60.8258 106.346 1.47417e-09 1.4416e-09 6.486e-10 3.69519e-10 9.80599e-10 6.53178e-10 6.54832e-10 6.54832e-10
14430000 295.631 -32.1755 -16.7583 163.934 -15.1328 -4.04138 88.3367 96.8957 -43.5529 87.3109 2.98536e-09 3.36632e-09 2.20832e-09 4.49033e-10 1.60593e-09 1.53821e-09 1.54561e-09 1.54561e-09
14440000 295.316 -40.3596 -17.6775 167.462 4.93005 7.91219 85.0354 103.741 -29.1944 100.961 2.08301e-09 2.36801e-09 1.38983e-09 4.57092e-10 1.14225e-09 1.10928e-09 1.09586e-09 1.09586e-09
14450000 295.108 -24.3859 -29.2252 163.772 -46.135 -27.1843 46.736 116.603 -45.7151 84.6608 4.30983e-10 9.24767e-10 5.2879e-10 -8.46704e-11 3.58556e-10 4.46336e-10 4.35699e-10 4.35699e-10
14460000 294.767 -33.8828 5.34881 182.247 6.13778 3.61495 48.9877 81.9062 -62.1809 58.1627 1.7956e-09 2.06865e-09 1.13121e-09 2.48803e-10 1.20175e-09 9.31541e-10 9.46588e-10 9.46588e-10
14470000 294.193 -14.6792 24.9154 172.396 17.8563 -12.7227 73.9099 92.9385 -51.9324 76.7364 -6.39491e-10 -2.09081e-10 -2.25479e-10 -2.34477e-10 -2.64879e-10 -9.21301e-11 -9.66389e-11 -9.66389e-11
14480000 294.403 0.731467 22.8486 190.977 12.4555 -8.43518 64.1446 81.6346 -65.7844 67.5318 2.53406e-10 -1.93379e-10 -4.02303e-10 3.65676e-10 2.13165e-10 -7.61693e-11 -8.6604e-11 -8.6604e-11
14490000 294.194 -7.39302 -4.50043 192.806 -3.89518 -1.3439 52.1862 95.5775 -36.9068 74.5359 4.44364e-10 5.51303e-10 3.4319e-10 1.21647e-10 1.61627e-10 2.5218e-10 2.46396e-10 2.46396e-10
14500000 293.711 -1.52922 14.699 189.164 1.15891 -13.9029 65.6403 105.824 -50.1103 64.6742 -1.35381e-10 3.10546e-11 3.34058e-10 -1.48269e-10 -3.32295e-10 6.63293e-12 6.64058e-12 6.64058e-12
14510000 293.671 -41.851 -14.1759 160.31 -30.1889 9.89614 87.326 89.4809 -77.2028 91.0122 -2.09119e-09 -2.01893e-09 -1.11829e-09 -4.40724e-10 -1.28118e-09 -9.23532e-10 -9.22868e-10 -9.22868e-10
14520000 292.861 -26.9453 6.15813 189.551 -0.033368 9.54236 74.2972 100.544 -61.4213 97.261 -2.08204e-09 -2.49192e-09 -1.46277e-09 -2.40375e-10 -1.33328e-09 -1.14094e-09 -1.14681e-09 -1.14681e-09
14530000 292.143 -29.8795 -22.1223 177.493 -10.18 10.343 59.1386 113.069 -53.3572 89.2324 -1.33475e-09 -1.70143e-09 -7.79446e-10 -2.81335e-10 -9.22188e-10 -7.87745e-10 -7.84348e-10 -7.84348e-10
14540000 291.869 -7.91563 -1.53582 213.493 7.1637 -10.6597 64.2495 74.9141 -66.4568 90.5356 -6.78536e-10 -8.61664e-10 -5.7598e-10 -1.49312e-10 -2.3678e-10 -3.91815e-10 -3.84254e-10 -3.84254e-10
