# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
16480000 19041.6 -715973
16490000 19060.7 -715958
16500000 19024.9 -715920
16510000 19028.7 -715914
16520000 19054.3 -715929
16530000 19040.1 -716020
16540000 19058.7 -715929
16550000 19034 -715988
16560000 19047.2 -715900
16570000 19038 -715922
16580000 19052.6 -715894
16590000 19016.9 -715950
16600000 19040.1 -715980
16610000 19041.9 -715954
16620000 19026 -715956
16630000 19046.4 -715957
16640000 19057 -715879
16650000 19013 -715870
16660000 19034.1 -715912
16670000 19043.9 -715918
16680000 19043.3 -715898
16690000 19025.9 -715975
16700000 19033.6 -715968
16710000 19026.9 -715913
16720000 19013.5 -715962
16730000 19015.4 -715911
16740000 19034.9 -715961
16750000 19006.7 -715930
16760000 19048.1 -715897
16770000 19035.5 -715907
16780000 19053.9 -715948
16790000 19028.6 -715971
16800000 19040.8 -715965
16810000 19080.7 -715948
16820000 19057.3 -715916
16830000 19079.3 -715974
16840000 19075.2 -715849
16850000 19063.5 -715898
16860000 19098.5 -715904
16870000 19094.9 -715850
16880000 19051.4 -715886
16890000 19083.9 -715831
16900000 19034.8 -715919
16910000 19058.9 -715916
16920000 19039.1 -715942
16930000 19058 -715973
16940000 19099.3 -715855
16950000 19067.3 -715952
16960000 19086.9 -715907
16970000 19052.5 -715986
16980000 19073.8 -715924
16990000 19034.5 -715932
17000000 19049.9 -715883
17010000 19044.4 -716047
17020000 19044.9 -716012
17030000 19057 -716006
17040000 19038.3 -715968
17050000 19066.2 -715871
17060000 19040.7 -715925
17070000 19030.1 -715922
17080000 19082.2 -715829
17090000 19036.5 -715895
17100000 19041.8 -715866
17110000 19066.1 -715870
17120000 19033.6 -715997
17130000 19061.4 -715912
17140000 19059.7 -715884
17150000 19060.4 -715940
17160000 19057.5 -715913
17170000 19085.2 -715936
17180000 19066 -715886
17190000 19015.8 -715974
17200000 19037.6 -715938
17210000 19061.8 -715974
17220000 19044.2 -715886
17230000 19032.5 -715939
17240000 19038.6 -715881
17250000 19024.4 -715906
17260000 19028.2 -715956
17270000 19041.5 -715903
17280000 19012.8 -716007
17290000 19073.4 -715900
17300000 19042 -715879
17310000 19032.8 -716003
17320000 19017.9 -715951
17330000 19061.7 -715857
17340000 19002.6 -715996
17350000 19056.2 -715928
17360000 19033.1 -715954
17370000 19045.7 -715915
17380000 19073.4 -715923
17390000 19034.9 -715943
17400000 19040.1 -715954
17410000 19044 -715981
17420000 19037.8 -716005
17430000 19042.3 -716000
17440000 19033 -715942
17450000 19025.6 -715978
17460000 19021.6 -715959
17470000 19012.1 -715950
17480000 19048.7 -715962
17490000 19060.6 -715951
17500000 19004.6 -715939
17510000 19066 -715846
17520000 19045.5 -715919
17530000 19069.7 -715924
17540000 19030.7 -715885
17550000 19046.8 -715931
17560000 19032.2 -715984
17570000 19034.5 -715923
17580000 19030 -715950
17590000 19034.3 -715926
17600000 19023.2 -715992
17610000 19018.6 -715976
17620000 19023.4 -715896
17630000 19028.8 -715920
17640000 19030.7 -715898
17650000 19038.1 -715971
17660000 19021.6 -715992
17670000 19024.4 -715964
17680000 19024.1 -715971
17690000 19045.5 -715985
17700000 19035 -715958
17710000 19042 -715920
17720000 19021.8 -715983
17730000 19018.2 -716038
17740000 19038.7 -715952
17750000 19065.7 -715900
17760000 19028.7 -715950
17770000 19031.6 -715905
17780000 19010.5 -715993
17790000 19013.5 -715990
17800000 19034.8 -715991
17810000 19045.1 -715955
17820000 19047.8 -716035
17830000 19009.8 -716000
17840000 19049.4 -715943
17850000 19052.6 -715904
17860000 19041 -715966
17870000 19057.1 -715900
17880000 19021.4 -716005
17890000 19030.2 -715981
