# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
16990000 21320.9 -713474
17000000 21256.7 -713571
17010000 21292.2 -713457
17020000 21282.6 -713457
17030000 21315.2 -713468
17040000 21262.6 -713522
17050000 21285.1 -713442
17060000 21302.9 -713463
17070000 21274.1 -713430
17080000 21280.8 -713518
17090000 21297.7 -713443
17100000 21319.4 -713394
17110000 21320.9 -713377
17120000 21285.2 -713479
17130000 21313.8 -713497
17140000 21311.5 -713424
17150000 21311.7 -713496
17160000 21347.9 -713441
17170000 21351.8 -713342
17180000 21366.9 -713332
17190000 21303.9 -713406
17200000 21324.7 -713408
17210000 21349.2 -713418
17220000 21345.9 -713328
17230000 21333.3 -713422
17240000 21364.9 -713475
17250000 21308.3 -713423
17260000 21369.6 -713350
17270000 21344.4 -713342
17280000 21349.7 -713305
17290000 21335.5 -713391
17300000 21335.8 -713445
17310000 21360.2 -713517
17320000 21344.5 -713386
17330000 21335.1 -713517
17340000 21355 -713443
17350000 21336.6 -713419
17360000 21325.6 -713343
17370000 21347.9 -713423
17380000 21357.2 -713408
17390000 21322.8 -713472
17400000 21322.6 -713464
17410000 21326.1 -713491
17420000 21343.7 -713431
17430000 21320.9 -713435
17440000 21342.3 -713387
17450000 21366.8 -713376
17460000 21355.9 -713503
17470000 21370.2 -713422
17480000 21329.1 -713495
17490000 21336.4 -713448
17500000 21325.2 -713443
17510000 21363.7 -713386
17520000 21376.4 -713432
17530000 21353.2 -713406
17540000 21347 -713378
17550000 21324.4 -713439
17560000 21333.1 -713431
17570000 21358.9 -713381
17580000 21364.2 -713433
17590000 21348.3 -713420
17600000 21360.8 -713399
17610000 21316.5 -713509
17620000 21313.9 -713450
17630000 21328.9 -713472
17640000 21308.1 -713399
17650000 21353.2 -713395
17660000 21345.4 -713397
17670000 21311.6 -713481
17680000 21346.6 -713434
17690000 21306.9 -713493
17700000 21353.5 -713360
17710000 21328.2 -713472
17720000 21340.9 -713403
17730000 21335.8 -713428
17740000 21324.1 -713464
17750000 21309.2 -713441
17760000 21339.5 -713425
17770000 21284.5 -713553
17780000 21352.3 -713448
17790000 21352.2 -713380
17800000 21331.1 -713409
17810000 21330.7 -713452
17820000 21349.1 -713404
17830000 21363.4 -713342
17840000 21369.8 -713394
17850000 21327.2 -713482
17860000 21307.4 -713531
17870000 21306.3 -713602
17880000 21338 -713511
17890000 21343.4 -713391
17900000 21346.4 -713421
17910000 21324.1 -713433
17920000 21304.3 -713465
17930000 21345.7 -713385
17940000 21351.4 -713479
17950000 21338.5 -713366
17960000 21314.5 -713396
17970000 21349 -713472
17980000 21350.3 -713461
17990000 21331.4 -713449
18000000 21322.1 -713412
18010000 21350.2 -713443
18020000 21324.2 -713439
18030000 21336.8 -713432
18040000 21289 -713476
18050000 21331.6 -713481
18060000 21329.1 -713518
18070000 21329.1 -713359
18080000 21313.6 -713378
18090000 21349.8 -713377
18100000 21387.3 -713397
