# Time-averaged data for fix fixflux2
# TimeStep v_Jz2 v_Jzk2 v_Jzp2 v_Jzb2 v_Jza2 v_Jzd2
551000 -1.07517e-07 1.64448e-07 8.29865e-07 2.00419e-08 -9.87745e-07 -1.36182e-07
552000 1.41007e-06 8.48415e-07 1.58486e-07 -2.44463e-07 1.05596e-06 4.20013e-07
553000 1.27159e-06 8.27623e-07 7.40566e-07 1.05545e-07 3.26999e-07 1.66158e-07
554000 1.80313e-06 9.663e-07 1.04086e-06 1.67371e-07 4.54671e-07 3.35133e-07
555000 1.10479e-06 -2.99453e-08 4.17414e-08 1.02805e-06 3.51866e-08 -1.93506e-08
556000 9.51074e-07 -3.31447e-07 -1.0638e-06 1.42151e-06 6.55827e-07 4.88106e-08
557000 5.39158e-07 6.01703e-07 1.08197e-06 -4.54848e-07 -2.25535e-07 -8.53955e-08
558000 4.23226e-07 -4.03452e-07 1.1063e-06 -2.25048e-07 -4.79578e-07 -1.35932e-07
559000 -1.30399e-06 -1.42893e-06 -5.80963e-07 -2.6633e-07 -3.74325e-07 -2.78124e-07
560000 1.51984e-07 -1.75513e-06 -1.40804e-06 1.84683e-06 -2.14503e-07 -5.18933e-07
561000 1.0446e-06 9.60176e-07 1.08278e-06 -2.47137e-07 1.50243e-07 2.666e-07
562000 2.64986e-06 2.6437e-06 1.56154e-06 -3.69222e-07 1.03076e-06 8.05219e-07
563000 3.01644e-06 2.35856e-06 1.7344e-06 -6.22928e-09 1.28738e-06 7.35993e-07
564000 -1.23112e-06 -1.83539e-06 -1.09789e-06 5.07139e-07 -4.25443e-07 -4.72055e-07
565000 -1.14846e-06 -1.83375e-06 -1.25246e-06 6.46432e-07 -4.8561e-07 -5.32614e-07
566000 1.10998e-06 5.3741e-07 -3.60224e-07 8.83197e-07 6.58484e-07 1.98175e-07
567000 -1.38489e-06 -3.36733e-07 4.00576e-07 -1.2036e-06 -3.15057e-07 -2.5848e-08
568000 6.25286e-07 -3.31225e-07 -1.18313e-07 4.71246e-07 1.75049e-07 -1.55193e-07
569000 9.99204e-07 1.08908e-06 7.11999e-07 2.8327e-09 6.957e-08 3.73953e-07
570000 6.2623e-07 1.76504e-06 1.3255e-06 -1.30855e-06 3.95754e-07 5.18152e-07
571000 3.73637e-07 -4.52634e-07 -3.20054e-07 7.26582e-07 2.44897e-08 -2.49388e-07
572000 -9.33082e-07 -2.079e-06 -1.28681e-06 6.84093e-07 -3.19491e-07 -3.42076e-07
573000 7.34079e-07 -6.08151e-07 3.27278e-08 9.83264e-07 -5.74815e-08 -2.99974e-07
574000 2.67296e-06 2.2936e-06 1.40136e-06 6.1824e-09 9.6537e-07 6.29461e-07
575000 1.87496e-06 1.44528e-06 8.88196e-07 2.21281e-07 6.5705e-07 4.40619e-07
576000 1.02329e-06 3.60782e-07 4.64684e-07 9.30353e-08 3.21549e-07 1.0331e-07
577000 1.72605e-07 -2.05248e-06 -6.20539e-07 1.62429e-06 -5.06094e-07 -5.50651e-07
578000 -1.01569e-06 -1.13045e-06 -7.05833e-07 5.84452e-08 -4.20742e-07 -3.04856e-07
579000 3.1816e-07 5.10154e-07 3.36475e-07 -3.74651e-07 3.11244e-07 8.71484e-08
580000 4.74311e-07 5.64032e-07 6.80909e-07 -4.97602e-07 1.03853e-07 1.1896e-07
581000 1.13294e-06 5.71266e-07 -1.05945e-07 8.45832e-07 4.34644e-07 1.03023e-07
582000 -8.57734e-07 -1.27807e-06 -7.46739e-07 6.51894e-07 -4.3703e-07 -4.11252e-07
583000 1.75933e-06 1.20655e-06 1.49722e-06 3.90597e-08 2.05339e-07 2.81966e-07
584000 -3.43111e-07 -1.68658e-07 -1.81369e-07 -1.16419e-08 -2.52564e-07 -8.01173e-08
585000 -5.24893e-07 -1.44689e-06 -9.96448e-07 7.43281e-07 -1.46495e-07 -4.36128e-07
586000 -8.10189e-07 -1.38247e-06 -1.42474e-06 7.07862e-07 2.53543e-08 -2.81404e-07
587000 -7.26991e-08 -2.26577e-07 5.06551e-07 -4.83981e-07 -2.64795e-08 -7.48482e-08
588000 2.11707e-06 -6.63507e-08 7.38881e-07 1.27419e-06 1.29693e-07 -7.8379e-08
589000 1.0254e-06 4.58879e-07 2.40949e-07 5.12922e-07 3.23106e-07 -2.83849e-08
590000 1.61208e-06 1.00128e-06 -3.95569e-07 8.07843e-07 8.0738e-07 2.75707e-07
591000 3.62553e-06 1.69853e-06 2.59769e-06 4.67341e-07 2.17855e-07 5.59364e-07
592000 2.61789e-07 -5.87614e-07 2.34795e-07 9.98928e-08 -1.32218e-07 -1.50031e-07
593000 7.09804e-07 -1.36679e-06 -1.89454e-06 2.28841e-06 6.13782e-07 -4.21289e-07
594000 9.32039e-08 3.35333e-07 8.68241e-07 -6.2996e-07 -5.83e-08 9.53904e-08
595000 5.26498e-07 5.30651e-07 3.88443e-07 -7.11471e-08 2.29501e-07 3.20585e-08
596000 -4.39233e-07 3.97172e-08 -2.3378e-07 -3.55643e-07 8.86234e-08 -8.44419e-09
597000 1.36091e-06 8.59423e-07 1.32313e-06 -1.97374e-07 1.08294e-07 3.74995e-07
598000 1.06054e-06 -6.53766e-07 -7.22177e-07 1.4877e-06 3.42986e-07 -1.01094e-07
599000 8.67641e-07 -3.63476e-08 5.92429e-07 3.67936e-07 1.06631e-07 -8.70864e-09
600000 1.16923e-06 6.62127e-07 1.32972e-07 -3.71243e-08 8.73732e-07 1.69964e-07
601000 -1.85377e-07 -3.67094e-07 -4.52443e-08 -7.53902e-08 -4.2848e-08 -1.38979e-07
602000 3.45996e-07 -2.94357e-07 4.42662e-08 4.62982e-07 -5.75854e-09 -2.22943e-07
603000 1.25719e-06 1.7011e-07 -1.89955e-07 7.16867e-07 6.87615e-07 2.30257e-07
604000 1.26968e-06 1.0836e-06 1.28522e-06 -2.92012e-07 3.0204e-07 1.25462e-07
605000 -1.94456e-07 1.75595e-07 6.62073e-07 -3.33073e-07 -6.29529e-07 1.88384e-07
606000 1.53802e-06 3.10026e-07 5.2798e-07 1.05021e-06 2.13872e-08 7.21925e-08
607000 -4.59143e-07 -1.02049e-06 -7.95799e-07 6.26295e-07 -3.00363e-07 -3.28326e-07
608000 -2.78503e-07 -3.86457e-07 -3.77272e-07 -2.22807e-07 3.00778e-07 -1.65566e-08
609000 1.9919e-06 1.6242e-06 1.5734e-06 -2.54292e-07 4.0094e-07 5.52418e-07
610000 2.20737e-06 5.30131e-07 6.11853e-07 8.00692e-07 6.49855e-07 1.93067e-07
611000 -9.45958e-07 -1.08029e-06 -7.22605e-07 1.19399e-07 -3.96851e-07 -3.81684e-07
612000 6.73597e-09 -1.07177e-06 -1.03481e-06 1.18417e-06 2.8568e-07 -3.81561e-07
613000 1.51212e-07 -4.55178e-07 4.38419e-07 -3.94536e-08 -3.2444e-07 8.25305e-09
614000 7.29063e-07 8.86636e-07 8.27162e-07 -2.98228e-07 -3.10236e-08 4.08557e-07
615000 3.94539e-07 6.19788e-07 -9.53303e-08 -2.00216e-07 6.81697e-07 1.83156e-07
616000 1.45723e-07 -2.2262e-07 -2.0593e-08 2.38327e-07 -2.56518e-09 -1.0708e-07
617000 -2.57603e-07 -1.11106e-06 1.61214e-08 3.71117e-07 -3.97062e-07 -2.68705e-07
618000 -1.2755e-06 -1.82794e-06 -1.82014e-06 1.28368e-06 -5.13719e-07 -4.22524e-07
619000 1.60168e-06 2.1605e-06 1.49712e-06 -7.01666e-07 5.53023e-07 4.82689e-07
620000 3.12887e-06 2.90147e-06 2.51201e-06 -5.69468e-07 6.30088e-07 8.4937e-07
621000 1.16371e-06 -6.47983e-07 -7.17679e-07 1.57545e-06 5.45226e-07 -2.14418e-07
622000 -2.3857e-06 -3.46803e-06 -1.95712e-06 8.52969e-07 -8.62034e-07 -9.92432e-07
623000 -1.00516e-06 -3.52348e-06 -2.02062e-06 2.13857e-06 -6.35186e-07 -9.84955e-07
624000 3.06024e-07 -4.85962e-07 -7.90704e-07 8.98105e-07 1.94615e-07 -2.39382e-07
625000 2.13131e-06 1.38153e-06 1.43686e-06 2.9689e-07 3.98006e-07 3.40516e-07
626000 1.83496e-06 1.86087e-06 1.18145e-06 -4.00589e-07 9.55109e-07 4.61968e-07
627000 2.90535e-06 1.72335e-06 9.90222e-07 7.25659e-07 9.79243e-07 4.88584e-07
628000 2.08279e-06 1.20643e-06 8.3689e-07 6.37834e-07 4.02926e-07 4.4012e-07
629000 9.38617e-07 -3.74635e-07 3.20628e-07 7.58621e-07 9.74377e-08 -2.23756e-07
630000 -1.50696e-06 -1.04631e-06 3.22216e-07 -8.78611e-07 -1.10505e-06 -2.67167e-07
631000 2.58027e-07 4.77653e-07 5.26072e-07 -5.92637e-07 3.67864e-07 7.51523e-08
632000 1.26773e-06 1.53565e-07 -3.27287e-07 9.75635e-07 3.98123e-07 1.54685e-07
633000 -1.02252e-06 -8.40647e-07 7.30302e-08 -5.95752e-07 -4.73957e-07 -3.40622e-07
634000 9.53692e-07 2.64039e-07 8.06607e-07 2.55813e-07 -1.5519e-07 -3.02364e-08
635000 1.13692e-06 1.69556e-06 6.24956e-07 -7.87033e-07 9.63527e-07 5.93283e-07
636000 6.32378e-07 -7.14369e-08 -1.4227e-07 6.41546e-07 9.08288e-08 -4.63429e-08
637000 -6.28383e-07 -1.00511e-06 -2.13749e-07 -1.15397e-07 -2.83591e-07 -4.11107e-07
638000 5.17248e-07 -9.20124e-07 3.59583e-07 6.46505e-07 -2.81811e-07 -3.52588e-07
639000 1.24749e-06 1.19759e-06 4.3205e-07 -2.3379e-07 8.14604e-07 4.53348e-07
640000 2.62657e-07 8.46326e-07 4.53427e-07 -3.09456e-07 1.84291e-07 1.08064e-07
641000 8.22085e-07 -1.18234e-07 2.82694e-07 5.58256e-07 -1.09257e-07 7.20858e-08
642000 2.33761e-07 -1.67907e-07 9.04678e-07 -4.5579e-07 -3.56477e-08 9.72359e-10
643000 1.86326e-06 9.83417e-07 9.49157e-07 5.21924e-07 3.57485e-07 2.87275e-07
644000 8.26929e-08 -9.37914e-07 -1.29801e-06 1.18141e-06 1.54497e-07 -2.64577e-07
645000 7.569e-07 -8.95592e-07 2.17144e-08 1.41108e-06 -4.33713e-07 -3.59655e-07
646000 5.20552e-07 1.69782e-07 2.35545e-07 -1.63092e-07 3.2757e-07 3.61566e-08
647000 2.03236e-06 6.44976e-07 2.35452e-07 1.25639e-06 5.35203e-07 2.96634e-07
648000 6.34577e-07 5.60263e-07 2.46563e-07 -1.24093e-07 5.64667e-07 8.5338e-08
649000 2.35352e-06 8.14147e-07 8.33861e-07 7.1359e-07 6.23303e-07 1.2863e-07
650000 8.36484e-07 1.64647e-07 3.80556e-07 3.58202e-07 4.37861e-08 3.70677e-08
651000 1.91058e-06 1.11442e-06 7.17998e-07 4.46396e-07 5.94747e-07 3.31052e-07
652000 7.17275e-07 7.25043e-07 7.74139e-07 -2.05863e-07 2.85354e-07 2.80725e-07
653000 3.6908e-07 -1.09922e-06 -1.39363e-06 1.18824e-06 6.23093e-07 -3.07619e-07
654000 -5.83965e-07 -3.0843e-07 5.08872e-08 -4.53401e-07 -3.61574e-07 -2.51421e-08
655000 -4.20551e-07 -5.27682e-07 -9.47439e-07 4.38923e-07 -1.9206e-07 -2.42359e-07
