# Time-averaged data for fix fixflux1
# TimeStep v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1
608000 -4.6318e-07 5.96005e-07 -3.60317e-07 -4.23616e-07 1.29058e-07 6.50087e-08
609000 -1.25894e-06 -5.20727e-07 -4.14744e-07 -2.39744e-07 -4.82087e-07 -1.56623e-07
610000 -2.53336e-06 -1.91535e-06 -1.63123e-06 -2.38813e-08 -5.49524e-07 -6.99147e-07
611000 -8.54246e-07 -9.19348e-07 -3.90611e-07 1.60362e-07 -4.56665e-07 -2.12828e-07
612000 -1.52664e-07 1.309e-07 -9.9388e-07 5.64449e-08 5.67342e-07 6.90664e-08
613000 -9.35813e-07 -2.56461e-08 1.17623e-08 -4.54631e-07 -4.90993e-07 4.67998e-08
614000 -6.61271e-07 3.80245e-07 8.1758e-07 -9.64913e-07 -5.62866e-07 3.21249e-08
615000 1.15325e-07 1.599e-06 -3.33581e-07 -7.16146e-07 7.17779e-07 5.07545e-07
616000 -9.60394e-07 -6.15824e-07 -5.23798e-07 1.36811e-07 -5.27524e-07 -1.30556e-07
617000 -2.37636e-06 -1.20389e-06 -3.97614e-07 -7.85247e-07 -7.84565e-07 -3.19099e-07
618000 -1.22435e-06 -1.45295e-06 -1.06842e-06 9.50036e-07 -6.12492e-07 -4.92292e-07
619000 -4.18472e-07 -7.64214e-08 2.30536e-08 -1.60387e-07 -3.94686e-07 3.95267e-08
620000 4.1426e-07 1.52648e-07 1.25964e-07 1.50627e-07 -1.40689e-08 3.43451e-08
621000 6.29726e-07 3.07136e-07 -1.8588e-07 3.23604e-07 3.51946e-07 1.38048e-07
622000 4.63038e-07 1.12342e-06 3.23052e-07 -6.48356e-08 2.4271e-07 2.02765e-07
623000 -8.43156e-07 -1.14292e-06 -8.29787e-07 8.72867e-09 8.95017e-08 -2.1556e-07
624000 -4.21034e-06 -2.81647e-06 -1.89668e-06 -8.52693e-07 -1.1631e-06 -7.50579e-07
625000 -1.99772e-06 -1.76313e-06 -1.65352e-06 4.78143e-07 -8.08251e-07 -5.62249e-07
626000 -9.45206e-07 9.22005e-07 -7.19957e-08 -1.40946e-06 2.20322e-07 2.80872e-07
627000 2.03496e-06 2.02898e-06 1.80886e-06 -3.60835e-07 4.78721e-07 5.6295e-07
628000 5.07073e-07 1.88569e-06 4.08153e-07 -8.27467e-07 3.25079e-07 5.73916e-07
629000 1.00309e-06 1.71647e-06 7.65889e-07 -2.90721e-07 4.86097e-07 5.97397e-07
630000 -2.07534e-06 -1.46419e-06 -1.27982e-06 -8.60961e-08 -5.96016e-07 -3.79861e-07
631000 -3.27978e-06 -1.84372e-06 -1.34751e-06 -4.14209e-07 -1.17785e-06 -6.16831e-07
632000 1.44158e-07 1.65134e-06 5.3679e-07 -1.14355e-06 6.86658e-07 5.12677e-07
633000 1.0715e-06 1.69291e-06 1.18958e-06 -1.05574e-06 4.51462e-07 5.36383e-07
634000 1.10421e-06 6.50066e-07 7.13624e-07 -5.68245e-08 3.17966e-07 1.44787e-07
635000 -1.37379e-06 -1.55081e-06 -1.18264e-06 7.5328e-07 -8.40702e-07 -5.11476e-07
