# Time-averaged data for fix fixke
# TimeStep c_kea c_pea
785000 71249.9 -23843.8
786000 71251.1 -23820.9
787000 71253.9 -23823.3
788000 71271.6 -23816.6
789000 71232.2 -23969
790000 71140.6 -23966.6
791000 71250.6 -23895.2
792000 71348 -23811.7
793000 71297.3 -23857.1
794000 71205.3 -23975.4
795000 71167.9 -23998.9
796000 71144.2 -24019.4
797000 71108.4 -23951.4
798000 71090.9 -23993.5
799000 71191.4 -24000.8
800000 71263.6 -23909.9
801000 71317.5 -23759.2
802000 71290.4 -23830.7
803000 71392.7 -23770.9
804000 71498.4 -23596.3
805000 71455.2 -23564.9
806000 71370.9 -23692.1
807000 71338.6 -23696.9
808000 71374.2 -23726.3
809000 71351.3 -23683.5
810000 71453.3 -23597.2
811000 71539.4 -23472.1
812000 71586.1 -23421.1
813000 71593.9 -23387.3
814000 71646.1 -23341.2
815000 71506.6 -23524.1
816000 71406.8 -23634.3
817000 71424 -23662.5
818000 71379.9 -23712.9
819000 71458.5 -23635.5
820000 71499.2 -23607.8
821000 71473.1 -23752.3
822000 71462.5 -23764.5
823000 71329 -23788.3
824000 71313.4 -23751.5
825000 71415.7 -23680
826000 71457.9 -23636.8
827000 71458.8 -23628.4
828000 71508.9 -23527.8
829000 71526.5 -23529.7
830000 71532.7 -23607.6
831000 71484.9 -23569.7
832000 71406.8 -23680.9
833000 71307.6 -23795.1
834000 71445.6 -23645.2
835000 71421.8 -23702.9
836000 71280.6 -23775.9
837000 71387.4 -23639.7
838000 71477.1 -23618.2
839000 71389.7 -23712.4
840000 71302.2 -23817.5
841000 71363.2 -23761.8
842000 71261.6 -23760.2
843000 71141 -23920.9
844000 71140.4 -23969.6
845000 71234.3 -23808.5
846000 71262.9 -23777.1
847000 71130.6 -23875.2
848000 71140.7 -23853.9
849000 71053.3 -23887.6
850000 71116.6 -23767.2
851000 71069.1 -23843.2
852000 71175.7 -23769.4
853000 71238.4 -23764.5
854000 71196.2 -23784.8
855000 71180.5 -23791.9
856000 71163.1 -23851.9
857000 71246.7 -23646.8
858000 71238.7 -23696.9
859000 71266.8 -23692.1
860000 71277.1 -23623.6
861000 71320.1 -23784
862000 71270.2 -23841.1
863000 71216.8 -23953.5
864000 71258.3 -23841.7
865000 71289.9 -23860.3
866000 71335.6 -23790.7
